,date,permno,ret,prc,shrout
4823235,2022-02-28,10104,-0.06394778192043304,75.97000122070312,2670447.0
4828572,2022-03-31,10104,0.08898252248764038,82.7300033569336,2668157.0
4840789,2022-04-29,10104,-0.108908511698246,73.4000015258789,2668157.0
4849656,2022-05-31,10104,-0.020163532346487045,71.91999816894531,2668157.0
4861178,2022-06-30,10104,-0.02850382961332798,69.87000274658203,2664926.0
4869295,2022-07-29,10104,0.11864881962537766,77.83999633789062,2664926.0
4878794,2022-08-31,10104,-0.04740487039089203,74.1500015258789,2664926.0
4892778,2022-09-30,10104,-0.17639921605587006,61.06999969482422,2695653.0
4902532,2022-10-31,10104,0.28360897302627563,78.06999969482422,2695653.0
4905301,2022-11-30,10104,0.06353271752595901,83.02999877929688,2696166.0
4916281,2022-12-30,10104,-0.015536564402282238,81.73999786376953,2696253.0
2870775,2000-01-31,10107,-0.1616702377796173,97.875,5160025.0
2886205,2000-02-29,10107,-0.08684546500444412,89.375,5160025.0
2891674,2000-03-31,10107,0.18881118297576904,106.25,5242000.0
2897580,2000-04-28,10107,-0.3435294032096863,69.75,5262405.0
2911389,2000-05-31,10107,-0.10304659605026245,62.5625,5262405.0
2915860,2000-06-30,10107,0.27872127294540405,80.0,5262405.0
2929727,2000-07-31,10107,-0.12734374403953552,69.8125,5262405.0
2937956,2000-08-31,10107,0.0,69.8125,5262405.0
2938577,2000-09-29,10107,-0.13607878983020782,60.3125,5332338.0
2950945,2000-10-31,10107,0.14196890592575073,68.875,5332338.0
2955944,2000-11-30,10107,-0.1669691503047943,57.375,5332338.0
2966599,2000-12-29,10107,-0.24400871992111206,43.375,5332338.0
2979809,2001-01-31,10107,0.4077809751033783,61.0625,5335391.0
2985795,2001-02-28,10107,-0.033776868134737015,59.0,5335391.0
2991054,2001-03-30,10107,-0.0730932205915451,54.6875,5336000.0
3004140,2001-04-30,10107,0.23885715007781982,67.75,5382102.0
3006619,2001-05-31,10107,0.021107016131281853,69.18000030517578,5382102.0
3021364,2001-06-29,10107,0.05521826818585396,73.0,5383000.0
3029221,2001-07-31,10107,-0.0932876393198967,66.19000244140625,5383000.0
3033102,2001-08-31,10107,-0.13808736205101013,57.04999923706055,5383000.0
3041718,2001-09-28,10107,-0.10306750237941742,51.16999816894531,5386000.0
3050338,2001-10-31,10107,0.13640812039375305,58.150001525878906,5386000.0
3056190,2001-11-30,10107,0.10421320050954819,64.20999908447266,5386000.0
3063425,2001-12-31,10107,0.03177076578140259,66.25,5403000.0
3072967,2002-01-31,10107,-0.03833963721990585,63.709999084472656,5415222.0
3076819,2002-02-28,10107,-0.08428816497325897,58.34000015258789,5416007.0
3085019,2002-03-28,10107,0.033767588436603546,60.310001373291016,5415463.0
3094047,2002-04-30,10107,-0.1334770768880844,52.2599983215332,5415463.0
3100341,2002-05-31,10107,-0.025832347571849823,50.90999984741211,5415463.0
3107825,2002-06-28,10107,0.07444512099027634,54.70000076293945,5359000.0
3120200,2002-07-31,10107,-0.12285193800926208,47.97999954223633,5378747.0
3127866,2002-08-30,10107,0.022926267236471176,49.08000183105469,5378747.0
3132199,2002-09-30,10107,-0.1088019534945488,43.7400016784668,5346450.0
3138657,2002-10-31,10107,0.22245082259178162,53.470001220703125,5346450.0
3146502,2002-11-29,10107,0.07873572409152985,57.68000030517578,5346450.0
3154112,2002-12-31,10107,-0.10367543995380402,51.70000076293945,5350693.0
3163012,2003-01-31,10107,-0.0820116400718689,47.459999084472656,5350693.0
3170030,2003-02-28,10107,0.0021070889197289944,23.700000762939453,10701386.0
3174722,2003-03-31,10107,0.02151891589164734,24.209999084472656,10722000.0
